標準設定,7232501,12104959,16757900,14280371,30960,8567039,6619000,10026922,16777215,16777215,5263440,16737380,6579455,16777215,8421504,
レゴブロック風,255,16711680,16711680,255,255,16711680,16711680,255,16777215,16777215,0,16711680,255,16777215,12632256,
ファンシー!,255,11184895,16732497,16752029,16740351,13158545,9567560,6855167,16777215,16777215,7434609,15901696,7829503,16777215,12632256,
モノクロ,0,2105376,5592405,7895160,10132122,11974326,13553358,14935011,16777215,16777215,0,8421504,12632256,16777215,12632256,
クール,16711680,8388672,8388672,16711680,16711680,8388672,16711680,8388672,16777215,0,16777215,12615680,12615808,0,12632256,
森(吟林さん),48896,12320699,16755884,16763080,10526880,13816530,10263757,12500702,7434609,16777215,5263440,6855167,6855167,16777215,8388672,
青色々(Rimさん),16775084,16761281,16776960,16744576,16633150,16673643,16744448,16711808,8388736,16777215,4194368,13104394,11130635,16777215,12632256,
「鍵盤なんて飾りですよ。偉い人はそれがわからんのです」（高見さん）,8437760,6324224,8413184,12615680,16576,24768,32960,49344,8453888,65472,49407,12304,3149824,12648192,12648192,
優(tokoさん),4103935,10345725,8454143,5636010,12753080,13290239,16777130,13408872,8421504,16777215,8421504,13279164,8454143,16777215,10329599,
X'masっぽい(yukさん),991208,11184895,12632256,8421504,2973748,454838,189172,1562335,16744576,15198183,2973748,1562335,12632256,15198183,6308790,
